index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	1	none	none	a plane is taking off.	an air plane is taking off.	5.000
1	main-captions	MSRvid	2012test	4	none	none	a man is playing a large flute.	a man is playing a flute.	3.800
2	main-captions	MSRvid	2012test	5	none	none	a man is spreading shreded cheese on a pizza.	a man is spreading shredded cheese on an uncooked pizza.	3.800
3	main-captions	MSRvid	2012test	6	none	none	three men are playing chess.	two men are playing chess.	2.600
4	main-captions	MSRvid	2012test	9	none	none	a man is playing the cello.	a man seated is playing the cello.	4.250
5	main-captions	MSRvid	2012test	11	none	none	some men are fighting.	two men are fighting.	4.250
6	main-captions	MSRvid	2012test	12	none	none	a man is smoking.	a man is skating.	0.500
7	main-captions	MSRvid	2012test	13	none	none	the man is playing the piano.	the man is playing the guitar.	1.600
8	main-captions	MSRvid	2012test	14	none	none	a man is playing on a guitar and singing.	a woman is playing an acoustic guitar and singing.	2.200
9	main-captions	MSRvid	2012test	16	none	none	a person is throwing a cat on to the ceiling.	a person throws a cat on the ceiling.	5.000
10	main-captions	MSRvid	2012test	17	none	none	the man hit the other man with a stick.	the man spanked the other man with a stick.	4.200
11	main-captions	MSRvid	2012test	18	none	none	a woman picks up and holds a baby kangaroo.	a woman picks up and holds a baby kangaroo in her arms.	4.600
12	main-captions	MSRvid	2012test	19	none	none	a man is playing a flute.	a man is playing a bamboo flute.	3.867
13	main-captions	MSRvid	2012test	20	none	none	a person is folding a piece of paper.	someone is folding a piece of paper.	4.667
14	main-captions	MSRvid	2012test	21	none	none	a man is running on the road.	a panda dog is running on the road.	1.667
15	main-captions	MSRvid	2012test	22	none	none	a dog is trying to get bacon off his back.	a dog is trying to eat the bacon on its back.	3.750
16	main-captions	MSRvid	2012test	25	none	none	the polar bear is sliding on the snow.	a polar bear is sliding across the snow.	5.000
17	main-captions	MSRvid	2012test	26	none	none	a woman is writing.	a woman is swimming.	0.500
